,TCS,RELIANCE,HDFCBANK,HDFC,INFY,ITC,SBIN,ONGC,COALINDIA,POWERGRID,NTPC,HCLTECH,WIPRO,ICICIBANK,HINDZINC,TATASTEEL,HINDUNILVR,LT,GAIL,KOTAKBANK,PFC,MARUTI,ULTRACEMCO,JSWSTEEL,BAJAJ-AUTO,BAJFINANCE,TECHM,INDUSINDBK,HEROMOTOCO,NMDC,SUNPHARMA,BANDHANBNK,MUTHOOTFIN,NHPC,DRREDDY,PETRONET,BPCL,ASIANPAINT,HINDPETRO,OIL,SRTRANSFIN,LICHSGFIN,CIPLA,DLF,IBULHSGFIN,SAIL,ADANIPORTS,EICHERMOT,AUROPHARMA,BAJAJHLDNG,BEL,HUDCO,AXISBANK,OFSS,SHREECEM,LTI,FEDERALBNK,TITAN,BRITANNIA,SBILIFE,NIACL,CADILAHC,MRF,DIVISLAB,SUNTV,GLENMARK,M&M,IOC,HDFCLIFE,GRASIM,ALKEM,HDFCAMC,TORNTPOWER,MANAPPURAM,MPHASIS,ICICIGI,GODREJCP,DABUR,IGL,GSPL,PIDILITIND,ICICIPRULI,COROMANDEL,CHOLAFIN,MARICO
Start,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,27-MAR-2018,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,19-MAY-2017,01-JAN-2016,01-JAN-2016,01-JAN-2016,21-JUL-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,03-OCT-2017,13-NOV-2017,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,17-NOV-2017,01-JAN-2016,01-JAN-2016,06-AUG-2018,01-JAN-2016,01-JAN-2016,01-JAN-2016,27-SEP-2017,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016,29-SEP-2016,01-JAN-2016,01-JAN-2016,01-JAN-2016
End,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022,16-FEB-2022
Period,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,965 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1178 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1382 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1085 days 00:00:00,1057 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1053 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,874 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1088 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1335 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00,1518 days 00:00:00
Start Value,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
End Value,283556.94023325975,459169.54905473377,307304.1028788908,199473.75116579188,257431.76182525733,109363.00236906845,288686.3389297435,90148.00086633865,57392.49201881916,149593.72207740904,120145.54724010981,250833.13633320158,255967.09914034564,375319.04433299985,291818.738994917,282141.9139041193,269957.0321441313,225168.96111279898,138291.5451243815,239180.7746506121,137694.16925478796,213182.31895364032,233625.39308275023,301776.7380900495,158923.09271156273,782173.2607764342,247372.0777508409,102486.28964547564,116286.60103301489,169869.8968695602,100724.85586330593,76099.95824092644,630952.1070338257,172652.3975270879,155873.87237425346,173561.59135394683,144494.28845215132,332430.0125318182,183446.8198764464,141914.87634028328,168490.66829900007,80053.79025950265,155060.21898022696,361542.4055411395,27285.055810577644,121992.73194649749,259900.03716112536,157355.87372758938,89169.70301694864,363494.16835701285,151518.53269443658,39790.7229134191,179980.7486277226,116177.92546125018,239968.04920086503,754080.3692332407,199556.6635622814,699671.0619684596,265776.00694198074,172958.21292210667,42790.59487680545,98622.17625994072,163621.10332417794,323567.2993039159,128096.1203568043,79678.49452172777,149110.7016759253,119586.47063247311,137027.2764243736,236027.50246267216,227767.58324928425,154051.11927991023,173259.4102898777,294162.94856758736,766406.0847929849,188985.69759786982,237037.85208050412,233506.48230288664,288830.50860208157,203679.73599183845,345358.35297288507,155360.0153150105,413196.2469087671,377457.2763968891,194506.46705165337
Total Return [%],183.55694023325975,359.16954905473375,207.30410287889086,99.47375116579188,157.43176182525733,9.363002369068447,188.68633892974353,-9.851999133661346,-42.60750798118084,49.59372207740903,20.14554724010981,150.83313633320157,155.96709914034562,275.31904433299985,191.81873899491703,182.1419139041193,169.95703214413132,125.16896111279898,38.291545124381486,139.18077465061208,37.69416925478795,113.18231895364033,133.62539308275024,201.77673809004952,58.92309271156273,682.1732607764342,147.3720777508409,2.4862896454756407,16.286601033014886,69.86989686956021,0.7248558633059292,-23.90004175907356,530.9521070338258,72.6523975270879,55.87387237425347,73.56159135394684,44.494288452151324,232.43001253181816,83.44681987644638,41.914876340283286,68.49066829900006,-19.94620974049735,55.060218980226935,261.5424055411395,-72.71494418942235,21.992731946497486,159.90003716112537,57.355873727589376,-10.830296983051362,263.4941683570128,51.51853269443658,-60.209277086580904,79.9807486277226,16.177925461250183,139.96804920086504,654.0803692332407,99.55666356228141,599.6710619684596,165.77600694198074,72.9582129221067,-57.20940512319454,-1.3778237400592772,63.62110332417794,223.56729930391586,28.0961203568043,-20.32150547827223,49.11070167592527,19.58647063247311,37.02727642437359,136.02750246267217,127.76758324928426,54.05111927991023,73.2594102898777,194.16294856758736,666.4060847929849,88.98569759786982,137.0378520805041,133.50648230288664,188.83050860208158,103.67973599183844,245.35835297288506,55.36001531501049,313.1962469087671,277.45727639688914,94.50646705165336
Benchmark Return [%],215.60172156927618,375.2895524740012,178.43857634902412,87.83821367555271,213.65133364699017,2.0244583886773526,126.82177348551407,4.255582359126664,-50.95045651848517,39.21985815602842,10.612855007474087,176.12134395762706,170.23529975559555,219.56585386256089,112.87294669795584,363.0147630147658,166.94296888681325,116.49388576680929,34.00326954514823,151.63973874183557,19.1111111111111,85.03718874636279,154.21033994334329,521.2268743914316,42.45035742652898,1059.566265850821,177.66560907605174,0.4720651553667077,3.7508609296179385,67.3424657534253,6.535466862853689,-32.26381461675547,658.6013986013933,41.50943396226423,38.85511162581183,68.3397683397691,25.251104861389884,270.1678520625876,60.55335968379389,18.773453965968656,40.99572600207875,-23.153339234779267,42.381933318074005,202.63266145619218,-73.99578603955705,104.66804979253008,176.86413754438354,55.80412012077724,-21.70410710233669,216.928030528891,59.110897897177495,-49.138525155065416,77.16159146477008,-3.41553232064169,118.8803141375061,760.5074541284409,74.89025460930672,606.7319982956974,131.8510581301907,58.596565613738115,-63.25127217714225,15.599639314698077,63.100106899387455,284.09892473118384,16.591251885368873,-47.2584573748306,36.6036006132749,12.178007570860894,70.15380150899556,128.4254528564795,123.81744394917189,21.457088576227058,163.04287690179885,324.78920741989657,502.18595748967783,88.94597768643561,85.5929361797257,103.27424023154848,267.01774361893985,105.34458509142172,336.12961296129595,68.96319946227516,321.7952092655981,424.26614481409024,120.20691173233647
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,10666.078220150297,24163.4376226948,4556.9408573821565,6199.574773594523,4514.332947031154,3538.0890820158074,16493.229218014407,4543.3979749500095,3732.149138960876,1110.807659298845,3266.5414430820606,12373.561785446645,9519.440326918042,8895.2262450498,8784.38559697655,8300.844974215888,10727.735502522048,6840.683566939856,4865.36617524145,11335.461190075586,4950.131348915539,5142.842268291524,5410.703084645204,13052.821112766087,3473.43634967193,34194.82376962219,6530.437167687904,6735.392293648197,2971.9232750236006,8762.13949395587,1429.9803606842454,4846.885546967227,15745.951711557766,6572.578203980163,5647.805913908067,3328.5020541975578,5812.075758352136,13694.28029240553,11430.667988480267,7265.753178419015,3959.3251149846965,3702.5246674430073,2742.811575750934,15966.95128798286,5108.224962335385,7556.49054778949,7541.869351585598,8028.485982140968,3093.077436978109,18663.097669330135,4782.669140410661,1120.584106579336,3223.725509688865,4242.48801680698,8853.04725719029,38504.51133169762,7238.90719406365,33143.58561243261,9292.160713141342,4461.421274118697,2014.042450105499,4485.648364823628,7383.624814037023,6696.587283892113,7356.481296724434,1977.1863349917855,5842.002302266993,11152.82294456776,4327.579672406328,8115.549131479869,7752.99882878312,11465.636816477607,4282.11657478682,20649.36105181026,34017.574085071195,6240.6075035172325,9344.131743267542,4116.201390357087,18196.198185079345,8432.875199429132,6816.121240358931,5406.477884083084,18830.707752940318,10337.335941826437,1804.0201416888203
Max Drawdown [%],28.16567527821067,45.088356781266505,41.054975429975435,39.83268466877985,37.33857049336427,56.26276055027941,59.02153467230129,71.54375148209628,67.08980888883744,36.20269971232573,50.801725803335685,34.72211051234617,45.729567106802605,48.30724426647251,62.21787541378273,67.61327377153798,20.769431770215675,55.1408383764773,64.75368207211781,36.49898814686326,59.02131492044431,59.20141978855729,37.656087005918145,66.26303800503537,43.28806457756485,62.523947586800396,42.06207634677131,85.34118398364073,61.632028056656665,64.77947695342024,62.18983301443098,75.21025230276331,42.54268685541261,43.196897567094794,48.51155263623136,39.06331309627059,52.6204292161739,28.855005753739928,66.51788622049429,71.5134093202432,72.41915802318488,75.33192226284395,44.30737217598097,56.59175336561286,93.70920191206908,78.98396990370745,53.693593314763234,61.65419921894878,64.54310292967575,60.92217470357756,69.2165866625112,79.22815912886844,63.156295576081675,63.19845086989427,36.89685639695035,36.378843788437884,69.83971364712531,40.30260540006797,37.32664613069942,46.49732089700336,81.08220269747548,61.02961275626424,35.16626484270122,59.44217181108219,75.2953713570866,80.63033420611286,72.65843370432485,68.52870024191773,46.19193586418298,69.3346938100323,28.171802375624033,45.41378953462223,34.36551305403764,58.523173605655934,49.45028963234425,42.29345624694462,55.16475570705504,24.81132331683095,41.61401493394601,41.32692790297438,28.465950875128694,54.87528344671202,40.655822806713964,64.36597110754413,39.41228402068357
Max Drawdown Duration,303 days 00:00:00,239 days 00:00:00,219 days 00:00:00,239 days 00:00:00,520 days 00:00:00,1139 days 00:00:00,385 days 00:00:00,1005 days 00:00:00,1363 days 00:00:00,874 days 00:00:00,1046 days 00:00:00,228 days 00:00:00,322 days 00:00:00,262 days 00:00:00,746 days 00:00:00,822 days 00:00:00,294 days 00:00:00,545 days 00:00:00,866 days 00:00:00,457 days 00:00:00,1185 days 00:00:00,882 days 00:00:00,365 days 00:00:00,625 days 00:00:00,716 days 00:00:00,244 days 00:00:00,402 days 00:00:00,875 days 00:00:00,1105 days 00:00:00,1032 days 00:00:00,1445 days 00:00:00,575 days 00:00:00,313 days 00:00:00,1064 days 00:00:00,917 days 00:00:00,569 days 00:00:00,1063 days 00:00:00,226 days 00:00:00,1106 days 00:00:00,1013 days 00:00:00,873 days 00:00:00,1157 days 00:00:00,453 days 00:00:00,755 days 00:00:00,1072 days 00:00:00,1012 days 00:00:00,725 days 00:00:00,1101 days 00:00:00,634 days 00:00:00,371 days 00:00:00,1044 days 00:00:00,1091 days 00:00:00,672 days 00:00:00,697 days 00:00:00,483 days 00:00:00,336 days 00:00:00,1073 days 00:00:00,270 days 00:00:00,431 days 00:00:00,315 days 00:00:00,922 days 00:00:00,952 days 00:00:00,604 days 00:00:00,495 days 00:00:00,1011 days 00:00:00,1313 days 00:00:00,858 days 00:00:00,1106 days 00:00:00,310 days 00:00:00,954 days 00:00:00,511 days 00:00:00,554 days 00:00:00,556 days 00:00:00,289 days 00:00:00,484 days 00:00:00,232 days 00:00:00,685 days 00:00:00,288 days 00:00:00,349 days 00:00:00,417 days 00:00:00,193 days 00:00:00,565 days 00:00:00,593 days 00:00:00,436 days 00:00:00,299 days 00:00:00
Total Trades,12,17,5,8,6,6,18,9,10,2,6,13,13,7,10,9,10,9,7,11,8,7,7,13,5,21,9,10,5,12,4,10,10,10,9,5,8,14,14,14,6,7,5,14,11,12,8,11,7,18,9,5,5,8,9,19,9,21,9,7,7,7,10,10,8,6,9,17,7,11,10,14,8,15,18,8,9,6,15,11,7,8,15,12,3
Total Closed Trades,11,16,4,7,5,5,17,8,9,1,5,12,12,6,10,8,9,8,6,10,7,6,6,12,4,20,8,9,4,11,3,9,9,9,8,4,7,13,13,13,5,6,4,13,10,11,7,10,6,17,8,4,4,7,8,18,8,20,8,6,6,6,9,9,7,5,8,16,6,10,9,13,7,14,17,7,8,5,14,10,6,7,14,11,2
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-1628.8182134313392,-48140.506032272475,30440.99956575234,-27038.778833539516,24519.10137343171,-11994.967086715813,33705.2122247848,3580.110288951648,-8947.213773952928,-22691.421272786363,-12431.423749564841,-32113.8460165773,-51622.58757664077,-29500.467406974465,0.0,-52660.681489603536,-57837.98609630758,36763.1037921494,-14007.245813464891,-48247.18521423376,-287.72094360980554,20742.255446452153,-31517.727108513034,-47265.35072600702,-26087.70564678157,-70585.30258928938,3031.358084606123,-13441.172365989492,-12009.86803742245,-36235.465195369325,9900.027129272436,-475.6886464784475,-58503.10994762066,-14167.291023855883,-26582.40657166406,-29553.90580815263,-46819.59874785907,-8104.029421290441,-12265.32799050794,-7747.591190256615,-323.2678737200331,-27483.258934047728,-1193.7937696608424,-49025.531353983155,-13381.554565495346,-36030.88379026181,-40741.35397531249,-9602.24956037561,2735.1543346041144,33665.577207641385,-5770.674447689642,-4534.153549946212,41207.513838555955,-30680.132508157316,-56827.48432521001,-148297.77313072782,1618.6642556719598,-2612.47386230703,-47576.54486588971,-16030.848143185227,-6040.471589199122,-60424.57325498911,-59239.75706763001,33322.931137534615,8621.047519466258,5666.0838921861,-8844.0621222849,-10539.92060424843,-35457.800612019404,45921.20237255693,-30558.34203603142,-73689.90013443085,22278.71985941936,-164958.31953661097,-62939.5857542312,-51509.495362998074,-82316.43145696967,33937.30629634825,-151687.29320530576,-29446.250380447775,-41535.03734820511,-17408.65812047891,-19068.92041145044,84174.95291348273,11297.50100500678
Win Rate [%],100.0,93.75,100.0,100.0,80.0,60.0,82.35294117647058,75.0,66.66666666666666,100.0,80.0,91.66666666666666,83.33333333333334,83.33333333333334,90.0,87.5,100.0,87.5,83.33333333333334,100.0,71.42857142857143,83.33333333333334,100.0,91.66666666666666,100.0,90.0,87.5,77.77777777777779,75.0,81.81818181818183,33.33333333333333,66.66666666666666,100.0,77.77777777777779,87.5,100.0,85.71428571428571,100.0,84.61538461538461,84.61538461538461,80.0,83.33333333333334,75.0,76.92307692307693,70.0,81.81818181818183,100.0,80.0,50.0,88.23529411764706,75.0,50.0,50.0,71.42857142857143,75.0,94.44444444444444,75.0,100.0,87.5,66.66666666666666,50.0,83.33333333333334,88.88888888888889,88.88888888888889,85.71428571428571,60.0,75.0,87.5,83.33333333333334,70.0,88.88888888888889,84.61538461538461,85.71428571428571,85.71428571428571,94.11764705882352,100.0,87.5,100.0,92.85714285714286,80.0,83.33333333333334,85.71428571428571,92.85714285714286,90.9090909090909,100.0
